CRN/Class, Course ID, Course Name, Units, Type, Days, Hours, Room, Dates, Instructor, Capacity, Enrolled, Available, Type2, Days2, Hours2, Room2, Dates2, Type3, Days3, Hours3, Room3, Dates3

Anthropology
10477,BIO-001-06D,Contemporary Biology,0,DISC,F,9:30-10:20am,ADMIN 265,18-JAN 06-MAY,Orozco Donnoban,22,19,3
14092,BIO-001-07D,Contemporary Biology,0,DISC,M,1:30-2:20pm,GRAN 155,18-JAN 06-MAY,Orozco Donnoban,20,20,Closed
17001,BIO-001-20,Contemporary Biology,4,LECT,MWF,10:30-11:20am,GRAN 110,18-JAN 06-MAY,Beaster-Jones Laura / Findlater Melinda / Kranzfelder Petra,66,35,31,EXAM,F,8:00-11:00am,GRAN 110,13-MAY 13-MAY
17002,BIO-001-21D,Contemporary Biology,0,DISC,F,12:30-1:20pm,GRAN 115,18-JAN 06-MAY,Wu Dean,22,5,17
17003,BIO-001-22D,Contemporary Biology,0,DISC,R,12:30-1:20pm,COB2 263,18-JAN 06-MAY,Wu Dean,22,19,3
17004,BIO-001-23D,Contemporary Biology,0,DISC,R,1:30-2:20pm,COB2 267,18-JAN 06-MAY,Wu Dean,22,11,11
10599,BIO-001L-01,Contemporary Biology Lab,1,LAB,R,3:00-5:50pm,SRE 153,18-JAN 06-MAY,Adhikari Pratik,24,21,3
10022,BIO-001L-02,Contemporary Biology Lab,1,LAB,M,3:00-5:50pm,SRE 153,18-JAN 06-MAY,Torres Ryan,24,22,2
10023,BIO-001L-03,Contemporary Biology Lab,1,LAB,T,8:00-10:50am,SRE 153,18-JAN 06-MAY,Ye Songtao,24,16,8
10024,BIO-001L-04,Contemporary Biology Lab,1,LAB,T,11:30-2:20pm,SRE 153,18-JAN 06-MAY,Ye Songtao,24,24,Closed
10025,BIO-001L-05,Contemporary Biology Lab,1,LAB,T,3:00-5:50pm,SRE 153,18-JAN 06-MAY,Torres Ryan,24,21,3
10474,BIO-001L-06,Contemporary Biology Lab,1,LAB,W,8:00-10:50am,SRE 153,18-JAN 06-MAY,Mosharaf Ghahfarokhy Pegah,24,7,17
10026,BIO-001L-07,Contemporary Biology Lab,1,LAB,W,3:00-5:50pm,SRE 153,18-JAN 06-MAY,Mosharaf Ghahfarokhy Pegah,24,9,15
10475,BIO-001L-08,Contemporary Biology Lab,1,LAB,R,11:30-2:20pm,SRE 153,18-JAN 06-MAY,Adhikari Pratik,24,23,1
10027,BIO-002-01,Introduction Molecular Biology,4,LECT,TR,7:30-8:45am,CLSSRM 105,18-JAN 06-MAY,Dulai Kamal / Nishiguchi Michele / Stark Lauren,288,110,178,EXAM,R,6:30-9:30pm,CLSSRM 102,12-MAY 12-MAY,EXAM,R,6:30-9:30pm,CLSSRM 110,12-MAY 12-MAY
10028,BIO-002-02D,Introduction Molecular Biology,0,DISC,T,4:30-5:20pm,COB2 264,18-JAN 06-MAY,Vazquez Carlos,24,12,12
10029,BIO-002-03D,Introduction Molecular Biology,0,DISC,W,12:30-1:20pm,COB2 267,18-JAN 06-MAY,Vazquez Carlos,24,19,5
10030,BIO-002-04D,Introduction Molecular Biology,0,DISC,W,1:30-2:20pm,GRAN 130,18-JAN 06-MAY,Vazquez Carlos,24,10,14
13616,BIO-002-05D,Introduction Molecular Biology,0,DISC,W,4:30-5:20pm,GLCR 155,18-JAN 06-MAY,Staff,24,8,16
14093,BIO-002-06D,Introduction Molecular Biology,0,DISC,T,6:30-7:20pm,COB2 267,18-JAN 06-MAY,Staff,24,8,16
14276,BIO-002-07D,Introduction Molecular Biology,0,DISC,M,10:30-11:20am,GRAN 130,18-JAN 06-MAY,Cornejo Karen,24,9,15
15032,BIO-002-08D,Introduction Molecular Biology,0,DISC,R,9:30-10:20am,GLCR 160,18-JAN 06-MAY,Cornejo Karen,24,18,6
16295,BIO-002-09D,Introduction Molecular Biology,0,DISC,R,10:30-11:20am,GLCR 150,18-JAN 06-MAY,Cornejo Karen,24,10,14
16296,BIO-002-10D,Introduction Molecular Biology,0,DISC,R,11:30-12:20pm,ADMIN 262,18-JAN 06-MAY,Staff,24,7,17
16297,BIO-002-11D,Introduction Molecular Biology,0,DISC,R,12:30-1:20pm,CLSSRM 270,18-JAN 06-MAY,Staff,24,2,22
16298,BIO-002-12D,Introduction Molecular Biology,0,DISC,R,1:30-2:20pm,COB2 262,18-JAN 06-MAY,Staff,24,1,23
16299,BIO-002-13D,Introduction Molecular Biology,0,DISC,R,2:30-3:20pm,COB2 264,18-JAN 06-MAY,Staff,24,6,18
13229,BIO-002-20,Introduction Molecular Biology,4,LECT,TR,9:00-10:15am,CLSSRM 102,18-JAN 06-MAY,Alkhouri Jourjina / Dulai Kamal / Nishiguchi Michele,288,259,29,EXAM,R,6:30-9:30pm,CLSSRM 102,12-MAY 12-MAY,EXAM,R,6:30-9:30pm,CLSSRM 110,12-MAY 12-MAY
10031,BIO-002-21D,Introduction Molecular Biology,0,DISC,W,2:30-3:20pm,GRAN 130,18-JAN 06-MAY,Wang Anthony,24,24,Closed
10032,BIO-002-22D,Introduction Molecular Biology,0,DISC,W,3:30-4:20pm,GLCR 155,18-JAN 06-MAY,Wang Anthony,24,24,Closed
10414,BIO-002-23D,Introduction Molecular Biology,0,DISC,R,6:30-7:20pm,CLSSRM 272,18-JAN 06-MAY,Wang Anthony,24,21,3
10549,BIO-002-24D,Introduction Molecular Biology,0,DISC,R,7:30-8:20pm,ADMIN 355,18-JAN 06-MAY,Limbu Shiwani,24,6,18
